,filename,number_performers,length_seconds,performance_context,performance_type,instruments,notes,touch_orientation,video_location,flux,number_performers,length_seconds,entropy,filename
2014-07-19 14:47:38.703846,2014-07-19T14-47-24-MetatoneOSCLog,3.0,308.911332,study,improvisation,iPad,2014 iPad Study Session.,,,0.2833653052510728,3,308.911332,4.494696685807904,2014-07-19T14-47-24-MetatoneOSCLog
2014-07-19 14:54:37.752794,2014-07-19T14-54-08-MetatoneOSCLog,3.0,311.507208,study,improvisation,iPad,2014 iPad Study Session.,,,0.2562300705598525,3,311.507208,4.354740814360563,2014-07-19T14-54-08-MetatoneOSCLog
2014-07-19 15:05:10.533829,2014-07-19T15-04-54-MetatoneOSCLog,3.0,305.199942,study,improvisation,iPad,2014 iPad Study Session.,,,0.2813402860490472,3,305.199942,4.444418651661873,2014-07-19T15-04-54-MetatoneOSCLog
2014-07-19 15:12:10.783353,2014-07-19T15-11-54-MetatoneOSCLog,3.0,302.189425,study,improvisation,iPad,2014 iPad Study Session.,,,0.23426012263544807,3,302.189425,4.400589210112158,2014-07-19T15-11-54-MetatoneOSCLog
2014-07-19 15:18:48.473461,2014-07-19T15-18-35-MetatoneOSCLog,3.0,301.192359,study,improvisation,iPad,2014 iPad Study Session.,,,0.2950783976760208,3,301.192359,4.457108514348526,2014-07-19T15-18-35-MetatoneOSCLog
2014-07-19 15:50:19.420698,2014-07-19T15-50-04-MetatoneOSCLog,3.0,298.895639,study,improvisation,iPad,2014 iPad Study Session.,,,0.31184350848509124,3,298.895639,4.596475649479069,2014-07-19T15-50-04-MetatoneOSCLog
2014-07-19 15:57:29.513102,2014-07-19T15-57-19-MetatoneOSCLog,3.0,304.905901,study,improvisation,iPad,2014 iPad Study Session.,,,0.21512604121455572,3,304.905901,4.2465636060586185,2014-07-19T15-57-19-MetatoneOSCLog
2014-07-19 16:04:29.100564,2014-07-19T16-04-06-MetatoneOSCLog,3.0,307.461416,study,improvisation,iPad,2014 iPad Study Session.,,,0.1997708750399,3,307.461416,4.2116103527882505,2014-07-19T16-04-06-MetatoneOSCLog
2014-07-19 16:19:55.315323,2014-07-19T16-19-28-MetatoneOSCLog,3.0,303.163343,study,improvisation,iPad,2014 iPad Study Session.,,,0.11221122112211221,3,303.163343,2.930457566795334,2014-07-19T16-19-28-MetatoneOSCLog
2014-07-19 16:26:48.191563,2014-07-19T16-26-31-MetatoneOSCLog,3.0,311.122943,study,improvisation,iPad,2014 iPad Study Session.,,,0.2835124218556252,3,311.122943,4.552638224847943,2014-07-19T16-26-31-MetatoneOSCLog
2014-07-19 16:36:11.818301,2014-07-19T16-35-49-MetatoneOSCLog,3.0,303.404443,study,improvisation,iPad,2014 iPad Study Session.,,,0.26877455497484226,3,303.404443,4.445744863989655,2014-07-19T16-35-49-MetatoneOSCLog
2014-07-19 16:48:48.416779,2014-07-19T16-48-26-MetatoneOSCLog,3.0,303.378785,study,improvisation,iPad,2014 iPad Study Session.,,,0.3346229792166904,3,303.378785,4.606410696543447,2014-07-19T16-48-26-MetatoneOSCLog
