time,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,9A5116EA-2793-4C75-AC93-524C9EF550FD,2FA454D2-F35D-45D6-BE5D-D848B409B713,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-06-23 15:06:04,6,4,2,2,8
2015-06-23 15:06:05,0,4,2,2,8
2015-06-23 15:06:06,2,4,2,2,2
2015-06-23 15:06:07,2,7,2,2,2
2015-06-23 15:06:08,2,7,2,2,2
2015-06-23 15:06:09,2,8,2,2,2
2015-06-23 15:06:10,2,8,2,2,1
2015-06-23 15:06:11,0,8,2,2,1
2015-06-23 15:06:12,0,8,2,3,1
2015-06-23 15:06:13,0,8,2,1,2
2015-06-23 15:06:14,0,8,2,1,2
2015-06-23 15:06:15,0,7,2,1,2
2015-06-23 15:06:16,0,7,2,1,2
2015-06-23 15:06:17,0,7,2,1,2
2015-06-23 15:06:18,2,7,2,1,2
2015-06-23 15:06:19,2,7,2,1,2
2015-06-23 15:06:20,2,7,2,1,2
2015-06-23 15:06:21,2,7,2,1,2
2015-06-23 15:06:22,2,7,2,1,2
2015-06-23 15:06:23,2,7,2,3,2
2015-06-23 15:06:24,2,7,2,3,8
2015-06-23 15:06:25,2,7,2,3,4
2015-06-23 15:06:26,2,4,2,8,4
2015-06-23 15:06:27,2,4,2,5,4
2015-06-23 15:06:28,2,3,2,2,4
2015-06-23 15:06:29,2,3,2,2,4
2015-06-23 15:06:30,2,4,2,0,4
2015-06-23 15:06:31,2,4,2,2,8
2015-06-23 15:06:32,2,3,2,2,8
2015-06-23 15:06:33,2,8,2,2,7
2015-06-23 15:06:34,1,8,2,2,7
2015-06-23 15:06:35,3,8,2,2,8
2015-06-23 15:06:36,8,8,2,2,8
2015-06-23 15:06:37,6,8,2,2,8
2015-06-23 15:06:38,7,8,2,2,3
2015-06-23 15:06:39,8,8,1,2,1
2015-06-23 15:06:40,8,8,1,3,3
2015-06-23 15:06:41,4,8,1,3,3
2015-06-23 15:06:42,4,8,5,3,3
2015-06-23 15:06:43,4,4,8,3,3
2015-06-23 15:06:44,4,4,7,4,7
2015-06-23 15:06:45,4,4,7,4,7
2015-06-23 15:06:46,4,4,7,0,7
2015-06-23 15:06:47,4,4,7,0,7
2015-06-23 15:06:48,4,4,4,0,4
2015-06-23 15:06:49,4,4,4,0,4
2015-06-23 15:06:50,4,6,4,0,4
2015-06-23 15:06:51,4,4,4,0,4
2015-06-23 15:06:52,6,1,7,0,8
2015-06-23 15:06:53,6,1,7,0,7
2015-06-23 15:06:54,0,1,7,0,7
2015-06-23 15:06:55,0,1,5,0,7
2015-06-23 15:06:56,0,1,8,0,7
2015-06-23 15:06:57,0,1,8,0,8
2015-06-23 15:06:58,0,4,3,0,7
2015-06-23 15:06:59,0,4,3,0,8
2015-06-23 15:07:00,0,4,2,0,8
2015-06-23 15:07:01,0,4,2,0,1
2015-06-23 15:07:02,2,4,2,0,1
2015-06-23 15:07:03,2,2,2,0,1
2015-06-23 15:07:04,2,0,2,0,1
2015-06-23 15:07:05,2,8,2,0,1
2015-06-23 15:07:06,2,8,2,0,1
2015-06-23 15:07:07,0,8,2,0,3
2015-06-23 15:07:08,0,8,2,0,5
2015-06-23 15:07:09,0,8,2,0,5
2015-06-23 15:07:10,0,8,2,0,5
2015-06-23 15:07:11,0,2,2,0,5
2015-06-23 15:07:12,0,2,2,0,0
2015-06-23 15:07:13,6,1,2,0,2
2015-06-23 15:07:14,6,3,2,0,5
2015-06-23 15:07:15,6,3,2,0,5
2015-06-23 15:07:16,6,8,2,0,5
2015-06-23 15:07:17,6,7,2,0,5
2015-06-23 15:07:18,2,8,2,0,5
2015-06-23 15:07:19,2,2,2,0,5
2015-06-23 15:07:20,0,2,2,0,5
2015-06-23 15:07:21,0,2,2,0,5
2015-06-23 15:07:22,0,2,2,0,2
2015-06-23 15:07:23,0,2,2,0,2
2015-06-23 15:07:24,0,2,2,0,0
2015-06-23 15:07:25,2,2,0,0,2
2015-06-23 15:07:26,2,2,0,0,0
2015-06-23 15:07:27,2,2,0,0,0
2015-06-23 15:07:28,2,2,0,0,0
2015-06-23 15:07:29,2,2,0,0,0
2015-06-23 15:07:30,0,2,0,0,0
2015-06-23 15:07:31,0,1,0,0,0
2015-06-23 15:07:32,0,1,0,0,0
2015-06-23 15:07:33,0,2,0,0,0
2015-06-23 15:07:34,0,2,0,0,0
2015-06-23 15:07:35,0,2,0,0,0
2015-06-23 15:07:36,0,0,0,0,0
