time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-29 18:04:01,7,3,8,4
2015-04-29 18:04:02,4,3,8,4
2015-04-29 18:04:03,7,3,8,4
2015-04-29 18:04:04,7,3,7,4
2015-04-29 18:04:05,7,3,4,4
2015-04-29 18:04:06,7,3,4,4
2015-04-29 18:04:07,7,3,4,8
2015-04-29 18:04:08,4,3,7,7
2015-04-29 18:04:09,7,3,7,7
2015-04-29 18:04:10,4,3,7,7
2015-04-29 18:04:11,4,3,7,7
2015-04-29 18:04:12,4,3,7,4
2015-04-29 18:04:13,4,3,7,4
2015-04-29 18:04:14,4,3,5,4
2015-04-29 18:04:15,4,1,5,4
2015-04-29 18:04:16,4,3,5,4
2015-04-29 18:04:17,4,3,7,4
2015-04-29 18:04:18,4,3,7,4
2015-04-29 18:04:19,4,3,7,4
2015-04-29 18:04:20,4,4,7,4
2015-04-29 18:04:21,4,4,7,8
2015-04-29 18:04:22,4,4,7,7
2015-04-29 18:04:23,4,4,7,7
2015-04-29 18:04:24,4,7,8,4
2015-04-29 18:04:25,4,7,8,4
2015-04-29 18:04:26,4,7,8,4
2015-04-29 18:04:27,4,8,8,8
2015-04-29 18:04:28,4,3,8,8
2015-04-29 18:04:29,4,3,8,2
2015-04-29 18:04:30,4,3,8,2
2015-04-29 18:04:31,4,3,8,2
2015-04-29 18:04:32,4,3,8,2
2015-04-29 18:04:33,4,1,8,2
2015-04-29 18:04:34,4,1,8,2
2015-04-29 18:04:35,3,3,7,2
2015-04-29 18:04:36,4,3,7,2
2015-04-29 18:04:37,4,3,7,2
2015-04-29 18:04:38,4,3,7,2
2015-04-29 18:04:39,2,3,4,2
2015-04-29 18:04:40,2,2,0,2
2015-04-29 18:04:41,2,2,0,2
2015-04-29 18:04:42,2,2,0,2
2015-04-29 18:04:43,2,2,2,2
2015-04-29 18:04:44,2,2,2,2
2015-04-29 18:04:45,2,2,2,2
2015-04-29 18:04:46,2,2,2,2
2015-04-29 18:04:47,2,2,2,2
2015-04-29 18:04:48,2,2,2,2
2015-04-29 18:04:49,2,2,2,2
2015-04-29 18:04:50,2,5,2,4
2015-04-29 18:04:51,2,8,2,8
2015-04-29 18:04:52,3,5,0,8
2015-04-29 18:04:53,4,5,0,8
2015-04-29 18:04:54,4,6,0,7
2015-04-29 18:04:55,4,2,0,7
2015-04-29 18:04:56,4,2,0,7
2015-04-29 18:04:57,3,4,2,7
2015-04-29 18:04:58,3,4,2,7
2015-04-29 18:04:59,3,4,2,7
2015-04-29 18:05:00,1,4,5,7
2015-04-29 18:05:01,1,4,5,7
2015-04-29 18:05:02,1,4,5,7
2015-04-29 18:05:03,1,4,5,7
2015-04-29 18:05:04,2,4,5,7
2015-04-29 18:05:05,2,4,5,7
2015-04-29 18:05:06,1,3,5,4
2015-04-29 18:05:07,1,3,5,4
2015-04-29 18:05:08,1,3,5,4
2015-04-29 18:05:09,1,3,7,4
2015-04-29 18:05:10,1,3,7,4
2015-04-29 18:05:11,1,3,7,4
2015-04-29 18:05:12,1,3,7,4
2015-04-29 18:05:13,1,3,8,4
2015-04-29 18:05:14,1,3,0,4
2015-04-29 18:05:15,1,4,0,8
2015-04-29 18:05:16,1,4,0,6
2015-04-29 18:05:17,1,6,0,6
2015-04-29 18:05:18,3,4,0,8
2015-04-29 18:05:19,3,4,0,6
2015-04-29 18:05:20,4,4,0,8
2015-04-29 18:05:21,4,4,0,4
2015-04-29 18:05:22,4,6,6,4
2015-04-29 18:05:23,4,6,7,6
2015-04-29 18:05:24,6,6,7,7
2015-04-29 18:05:25,6,4,7,7
