time,charles,jonathan,yvonne,christina
2013-08-03 17:20:06,4,3,0,0
2013-08-03 17:20:07,4,3,0,0
2013-08-03 17:20:08,6,2,0,0
2013-08-03 17:20:09,7,2,0,0
2013-08-03 17:20:10,7,0,0,0
2013-08-03 17:20:11,7,0,0,0
2013-08-03 17:20:12,7,0,0,0
2013-08-03 17:20:13,7,0,0,0
2013-08-03 17:20:14,7,0,0,0
2013-08-03 17:20:15,7,0,0,0
2013-08-03 17:20:16,7,0,0,0
2013-08-03 17:20:17,7,0,0,0
2013-08-03 17:20:18,7,0,0,0
2013-08-03 17:20:19,7,0,0,0
2013-08-03 17:20:20,7,0,0,0
2013-08-03 17:20:21,7,0,0,0
2013-08-03 17:20:22,6,0,0,0
2013-08-03 17:20:23,6,0,0,0
2013-08-03 17:20:24,7,0,0,0
2013-08-03 17:20:25,6,0,0,0
2013-08-03 17:20:26,7,0,0,0
2013-08-03 17:20:27,7,0,0,0
2013-08-03 17:20:28,7,0,0,0
2013-08-03 17:20:29,7,0,0,0
2013-08-03 17:20:30,7,2,0,0
2013-08-03 17:20:31,7,3,0,0
2013-08-03 17:20:32,7,1,0,0
2013-08-03 17:20:33,7,1,0,0
2013-08-03 17:20:34,7,1,0,0
2013-08-03 17:20:35,7,1,0,0
2013-08-03 17:20:36,7,1,6,0
2013-08-03 17:20:37,7,1,6,0
2013-08-03 17:20:38,7,1,6,0
2013-08-03 17:20:39,7,1,6,0
2013-08-03 17:20:40,7,1,6,0
2013-08-03 17:20:41,7,2,0,4
2013-08-03 17:20:42,7,2,0,4
2013-08-03 17:20:43,7,2,0,4
2013-08-03 17:20:44,7,2,0,4
2013-08-03 17:20:45,7,2,2,4
2013-08-03 17:20:46,7,2,4,7
2013-08-03 17:20:47,7,2,4,7
2013-08-03 17:20:48,7,2,4,7
2013-08-03 17:20:49,7,2,4,4
2013-08-03 17:20:50,7,2,4,4
2013-08-03 17:20:51,7,2,2,7
2013-08-03 17:20:52,7,2,2,4
2013-08-03 17:20:53,7,1,2,4
