time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-01 18:27:39,3,4,7,8
2015-05-01 18:27:40,3,7,7,8
2015-05-01 18:27:41,3,8,7,8
2015-05-01 18:27:42,3,7,7,8
2015-05-01 18:27:43,3,7,7,8
2015-05-01 18:27:44,3,7,7,7
2015-05-01 18:27:45,3,7,7,3
2015-05-01 18:27:46,3,7,7,7
2015-05-01 18:27:47,3,7,4,7
2015-05-01 18:27:48,1,7,4,4
2015-05-01 18:27:49,1,7,7,8
2015-05-01 18:27:50,1,7,4,8
2015-05-01 18:27:51,1,7,4,8
2015-05-01 18:27:52,1,7,4,8
2015-05-01 18:27:53,3,8,4,8
2015-05-01 18:27:54,3,7,4,8
2015-05-01 18:27:55,3,7,4,8
2015-05-01 18:27:56,3,7,4,8
2015-05-01 18:27:57,3,8,4,8
2015-05-01 18:27:58,3,7,4,8
2015-05-01 18:27:59,3,7,4,8
2015-05-01 18:28:00,3,7,4,8
2015-05-01 18:28:01,4,7,4,8
2015-05-01 18:28:02,4,7,4,8
2015-05-01 18:28:03,4,7,4,7
2015-05-01 18:28:04,4,7,6,7
2015-05-01 18:28:05,4,7,4,4
2015-05-01 18:28:06,4,7,4,4
2015-05-01 18:28:07,4,6,6,2
2015-05-01 18:28:08,7,6,4,2
2015-05-01 18:28:09,4,6,4,2
2015-05-01 18:28:10,6,6,4,2
2015-05-01 18:28:11,6,6,4,2
2015-05-01 18:28:12,6,6,4,2
2015-05-01 18:28:13,6,6,4,2
2015-05-01 18:28:14,6,7,4,2
2015-05-01 18:28:15,6,7,4,1
2015-05-01 18:28:16,6,7,4,2
2015-05-01 18:28:17,6,4,4,2
2015-05-01 18:28:18,6,4,4,2
2015-05-01 18:28:19,6,4,2,2
2015-05-01 18:28:20,6,4,2,2
