time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-01 18:55:24,7,3,6,2
2015-05-01 18:55:25,7,3,2,2
2015-05-01 18:55:26,5,2,2,2
2015-05-01 18:55:27,5,2,6,2
2015-05-01 18:55:28,5,2,2,2
2015-05-01 18:55:29,5,1,2,2
2015-05-01 18:55:30,2,1,2,2
2015-05-01 18:55:31,2,1,2,2
2015-05-01 18:55:32,5,1,2,2
2015-05-01 18:55:33,2,1,5,2
2015-05-01 18:55:34,2,2,5,2
2015-05-01 18:55:35,5,2,5,2
2015-05-01 18:55:36,5,2,5,2
2015-05-01 18:55:37,2,2,5,2
2015-05-01 18:55:38,2,2,2,2
2015-05-01 18:55:39,5,2,2,2
2015-05-01 18:55:40,5,2,2,2
2015-05-01 18:55:41,5,2,0,0
2015-05-01 18:55:42,5,2,0,0
2015-05-01 18:55:43,5,2,0,0
2015-05-01 18:55:44,5,2,0,0
2015-05-01 18:55:45,5,2,0,0
2015-05-01 18:55:46,0,2,0,0
2015-05-01 18:55:47,0,5,0,0
2015-05-01 18:55:48,0,8,0,0
2015-05-01 18:55:49,0,7,0,0
2015-05-01 18:55:50,0,7,0,0
