time,charles,christina,jonathan
2014-08-14 18:57:05,2,2,0
2014-08-14 18:57:06,2,2,0
2014-08-14 18:57:07,2,2,0
2014-08-14 18:57:08,2,2,0
2014-08-14 18:57:09,2,2,0
2014-08-14 18:57:10,0,2,0
2014-08-14 18:57:11,0,2,0
2014-08-14 18:57:12,0,2,0
2014-08-14 18:57:13,0,2,0
2014-08-14 18:57:14,0,2,0
2014-08-14 18:57:15,0,0,0
2014-08-14 18:57:16,0,0,2
2014-08-14 18:57:17,0,0,2
2014-08-14 18:57:18,0,0,2
2014-08-14 18:57:19,0,0,4
2014-08-14 18:57:20,0,0,4
2014-08-14 18:57:21,0,0,4
2014-08-14 18:57:22,0,0,4
2014-08-14 18:57:23,0,0,4
2014-08-14 18:57:24,0,0,0
2014-08-14 18:57:25,0,2,0
2014-08-14 18:57:26,0,2,0
2014-08-14 18:57:27,0,8,0
2014-08-14 18:57:28,0,3,0
2014-08-14 18:57:29,0,3,0
2014-08-14 18:57:30,0,3,0
2014-08-14 18:57:31,0,3,0
2014-08-14 18:57:32,0,3,0
2014-08-14 18:57:33,0,8,0
2014-08-14 18:57:34,0,2,0
2014-08-14 18:57:35,0,0,2
2014-08-14 18:57:36,0,0,2
2014-08-14 18:57:37,0,0,2
2014-08-14 18:57:38,0,0,2
2014-08-14 18:57:39,0,0,4
2014-08-14 18:57:40,0,0,4
2014-08-14 18:57:41,0,0,4
2014-08-14 18:57:42,0,0,4
2014-08-14 18:57:43,0,0,7
2014-08-14 18:57:44,0,0,6
2014-08-14 18:57:45,0,0,6
2014-08-14 18:57:46,0,0,6
2014-08-14 18:57:47,0,0,7
2014-08-14 18:57:48,0,0,4
2014-08-14 18:57:49,0,0,4
2014-08-14 18:57:50,0,2,4
2014-08-14 18:57:51,0,2,2
2014-08-14 18:57:52,0,4,0
2014-08-14 18:57:53,0,4,0
2014-08-14 18:57:54,0,4,0
2014-08-14 18:57:55,0,7,0
2014-08-14 18:57:56,0,7,0
2014-08-14 18:57:57,0,6,0
2014-08-14 18:57:58,2,4,0
2014-08-14 18:57:59,8,4,0
2014-08-14 18:58:00,5,2,0
2014-08-14 18:58:01,8,0,0
2014-08-14 18:58:02,8,0,0
2014-08-14 18:58:03,8,0,0
2014-08-14 18:58:04,8,0,0
2014-08-14 18:58:05,2,0,0
2014-08-14 18:58:06,8,0,0
2014-08-14 18:58:07,7,0,0
2014-08-14 18:58:08,7,0,0
2014-08-14 18:58:09,7,0,0
2014-08-14 18:58:10,7,4,0
2014-08-14 18:58:11,7,4,0
2014-08-14 18:58:12,7,4,0
2014-08-14 18:58:13,0,4,0
2014-08-14 18:58:14,0,4,0
2014-08-14 18:58:15,0,4,0
2014-08-14 18:58:16,0,4,0
2014-08-14 18:58:17,0,3,0
2014-08-14 18:58:18,0,0,0
2014-08-14 18:58:19,0,0,0
2014-08-14 18:58:20,0,0,0
2014-08-14 18:58:21,0,0,0
2014-08-14 18:58:22,0,0,0
2014-08-14 18:58:23,0,0,0
2014-08-14 18:58:24,0,0,0
2014-08-14 18:58:25,0,0,0
2014-08-14 18:58:26,0,0,0
2014-08-14 18:58:27,0,0,0
2014-08-14 18:58:28,0,0,0
2014-08-14 18:58:29,0,0,0
2014-08-14 18:58:30,0,0,0
2014-08-14 18:58:31,0,0,0
2014-08-14 18:58:32,0,0,0
2014-08-14 18:58:33,0,0,0
2014-08-14 18:58:34,0,0,0
2014-08-14 18:58:35,0,0,0
2014-08-14 18:58:36,0,0,0
2014-08-14 18:58:37,0,0,0
2014-08-14 18:58:38,0,0,0
2014-08-14 18:58:39,0,0,0
2014-08-14 18:58:40,0,0,0
2014-08-14 18:58:41,0,0,0
2014-08-14 18:58:42,0,0,0
2014-08-14 18:58:43,0,0,0
2014-08-14 18:58:44,0,0,0
2014-08-14 18:58:45,0,0,0
2014-08-14 18:58:46,0,0,0
2014-08-14 18:58:47,0,2,0
2014-08-14 18:58:48,0,8,0
2014-08-14 18:58:49,0,7,0
2014-08-14 18:58:50,0,7,0
2014-08-14 18:58:51,0,8,0
2014-08-14 18:58:52,0,7,0
2014-08-14 18:58:53,0,8,0
2014-08-14 18:58:54,0,7,0
2014-08-14 18:58:55,0,7,0
2014-08-14 18:58:56,0,7,0
2014-08-14 18:58:57,0,7,0
2014-08-14 18:58:58,0,8,0
2014-08-14 18:58:59,0,0,0
2014-08-14 18:59:00,0,0,2
2014-08-14 18:59:01,0,0,7
2014-08-14 18:59:02,0,0,7
2014-08-14 18:59:03,0,0,5
2014-08-14 18:59:04,0,0,5
2014-08-14 18:59:05,0,0,5
2014-08-14 18:59:06,0,0,5
2014-08-14 18:59:07,0,0,5
2014-08-14 18:59:08,0,0,5
2014-08-14 18:59:09,0,0,5
2014-08-14 18:59:10,0,0,2
2014-08-14 18:59:11,0,0,5
2014-08-14 18:59:12,0,0,5
2014-08-14 18:59:13,0,0,5
2014-08-14 18:59:14,0,0,4
2014-08-14 18:59:15,0,0,4
2014-08-14 18:59:16,0,0,0
2014-08-14 18:59:17,0,0,0
2014-08-14 18:59:18,0,0,0
2014-08-14 18:59:19,0,0,0
2014-08-14 18:59:20,0,0,0
2014-08-14 18:59:21,0,0,0
2014-08-14 18:59:22,0,0,0
2014-08-14 18:59:23,0,0,0
2014-08-14 18:59:24,0,0,0
2014-08-14 18:59:25,0,0,0
2014-08-14 18:59:26,0,0,0
2014-08-14 18:59:27,0,0,0
2014-08-14 18:59:28,0,0,0
2014-08-14 18:59:29,0,0,0
2014-08-14 18:59:30,4,0,0
