time,0E98DD2F-94C2-45EE-BEC5-18718CA36D8B,jonathan
2014-03-13 15:38:49,7,0
2014-03-13 15:38:50,7,0
2014-03-13 15:38:51,7,0
2014-03-13 15:38:52,7,0
2014-03-13 15:38:53,7,0
2014-03-13 15:38:54,7,0
2014-03-13 15:38:55,7,0
2014-03-13 15:38:56,7,0
2014-03-13 15:38:57,7,0
2014-03-13 15:38:58,7,0
2014-03-13 15:38:59,7,0
2014-03-13 15:39:00,7,0
2014-03-13 15:39:01,7,0
2014-03-13 15:39:02,7,0
2014-03-13 15:39:03,7,0
2014-03-13 15:39:04,7,0
2014-03-13 15:39:05,7,0
2014-03-13 15:39:06,7,0
2014-03-13 15:39:07,7,0
2014-03-13 15:39:08,7,0
2014-03-13 15:39:09,7,0
2014-03-13 15:39:10,7,0
2014-03-13 15:39:11,7,0
2014-03-13 15:39:12,7,0
2014-03-13 15:39:13,7,0
2014-03-13 15:39:14,7,0
2014-03-13 15:39:15,7,0
2014-03-13 15:39:16,7,0
2014-03-13 15:39:17,7,0
2014-03-13 15:39:18,7,0
2014-03-13 15:39:19,7,0
2014-03-13 15:39:20,7,0
2014-03-13 15:39:21,7,0
2014-03-13 15:39:22,7,0
2014-03-13 15:39:23,7,0
2014-03-13 15:39:24,7,0
2014-03-13 15:39:25,7,0
2014-03-13 15:39:26,7,0
2014-03-13 15:39:27,7,0
2014-03-13 15:39:28,7,0
2014-03-13 15:39:29,7,0
2014-03-13 15:39:30,7,0
2014-03-13 15:39:31,7,0
2014-03-13 15:39:32,7,0
2014-03-13 15:39:33,7,0
2014-03-13 15:39:34,7,0
2014-03-13 15:39:35,7,0
2014-03-13 15:39:36,7,0
2014-03-13 15:39:37,7,0
2014-03-13 15:39:38,7,0
2014-03-13 15:39:39,7,0
2014-03-13 15:39:40,7,0
2014-03-13 15:39:41,7,0
2014-03-13 15:39:42,7,0
2014-03-13 15:39:43,7,0
2014-03-13 15:39:44,7,0
2014-03-13 15:39:45,7,0
2014-03-13 15:39:46,7,0
2014-03-13 15:39:47,7,0
2014-03-13 15:39:48,7,0
2014-03-13 15:39:49,5,0
2014-03-13 15:39:50,5,0
2014-03-13 15:39:51,5,0
2014-03-13 15:39:52,5,0
2014-03-13 15:39:53,5,0
2014-03-13 15:39:54,5,0
2014-03-13 15:39:55,2,0
2014-03-13 15:39:56,2,0
2014-03-13 15:39:57,2,3
2014-03-13 15:39:58,2,3
2014-03-13 15:39:59,2,3
2014-03-13 15:40:00,2,3
2014-03-13 15:40:01,2,3
2014-03-13 15:40:02,2,1
2014-03-13 15:40:03,5,2
2014-03-13 15:40:04,5,2
2014-03-13 15:40:05,5,2
2014-03-13 15:40:06,5,2
2014-03-13 15:40:07,5,2
2014-03-13 15:40:08,5,2
2014-03-13 15:40:09,5,2
2014-03-13 15:40:10,5,2
2014-03-13 15:40:11,5,2
2014-03-13 15:40:12,5,2
2014-03-13 15:40:13,5,2
2014-03-13 15:40:14,7,3
2014-03-13 15:40:15,7,3
2014-03-13 15:40:16,7,3
2014-03-13 15:40:17,7,3
2014-03-13 15:40:18,7,3
2014-03-13 15:40:19,7,2
2014-03-13 15:40:20,7,2
2014-03-13 15:40:21,7,2
2014-03-13 15:40:22,7,2
2014-03-13 15:40:23,7,3
2014-03-13 15:40:24,7,3
