time,christina,jonathan,charles
2014-03-08 11:57:02,4,8,4
2014-03-08 11:57:03,4,8,4
2014-03-08 11:57:04,4,8,4
2014-03-08 11:57:05,4,3,4
2014-03-08 11:57:06,4,8,4
2014-03-08 11:57:07,4,8,4
2014-03-08 11:57:08,4,8,4
2014-03-08 11:57:09,4,8,4
2014-03-08 11:57:10,4,8,4
2014-03-08 11:57:11,4,8,4
2014-03-08 11:57:12,4,8,4
2014-03-08 11:57:13,4,8,4
2014-03-08 11:57:14,4,8,4
2014-03-08 11:57:15,4,3,7
2014-03-08 11:57:16,4,8,7
2014-03-08 11:57:17,4,8,7
2014-03-08 11:57:18,4,8,7
2014-03-08 11:57:19,4,8,7
2014-03-08 11:57:20,4,8,8
2014-03-08 11:57:21,4,8,4
2014-03-08 11:57:22,4,8,4
2014-03-08 11:57:23,4,8,4
2014-03-08 11:57:24,4,8,4
2014-03-08 11:57:25,4,8,4
2014-03-08 11:57:26,4,8,4
2014-03-08 11:57:27,4,8,4
2014-03-08 11:57:28,4,8,4
2014-03-08 11:57:29,4,8,4
2014-03-08 11:57:30,4,8,4
2014-03-08 11:57:31,4,8,4
2014-03-08 11:57:32,4,8,4
2014-03-08 11:57:33,4,8,4
2014-03-08 11:57:34,4,8,4
2014-03-08 11:57:35,4,8,4
2014-03-08 11:57:36,4,8,4
2014-03-08 11:57:37,4,8,4
2014-03-08 11:57:38,4,8,4
2014-03-08 11:57:39,4,8,7
2014-03-08 11:57:40,4,8,7
2014-03-08 11:57:41,4,8,4
2014-03-08 11:57:42,4,8,7
2014-03-08 11:57:43,4,8,7
2014-03-08 11:57:44,4,8,7
2014-03-08 11:57:45,4,8,7
2014-03-08 11:57:46,4,8,7
2014-03-08 11:57:47,4,8,7
2014-03-08 11:57:48,4,8,7
2014-03-08 11:57:49,4,8,7
2014-03-08 11:57:50,4,8,7
2014-03-08 11:57:51,4,8,7
2014-03-08 11:57:52,4,8,7
2014-03-08 11:57:53,4,8,7
2014-03-08 11:57:54,4,8,7
2014-03-08 11:57:55,4,8,7
2014-03-08 11:57:56,4,8,7
2014-03-08 11:57:57,4,8,7
2014-03-08 11:57:58,4,8,7
2014-03-08 11:57:59,4,8,7
2014-03-08 11:58:00,4,8,7
2014-03-08 11:58:01,4,8,7
2014-03-08 11:58:02,4,8,7
2014-03-08 11:58:03,4,8,8
2014-03-08 11:58:04,4,8,7
2014-03-08 11:58:05,4,8,7
2014-03-08 11:58:06,4,8,7
2014-03-08 11:58:07,4,8,7
2014-03-08 11:58:08,4,8,7
2014-03-08 11:58:09,4,8,7
2014-03-08 11:58:10,4,8,4
2014-03-08 11:58:11,4,8,7
2014-03-08 11:58:12,4,8,7
2014-03-08 11:58:13,4,8,8
2014-03-08 11:58:14,4,8,7
2014-03-08 11:58:15,4,8,8
2014-03-08 11:58:16,4,8,7
2014-03-08 11:58:17,4,8,7
2014-03-08 11:58:18,4,8,8
2014-03-08 11:58:19,4,8,8
2014-03-08 11:58:20,4,8,7
2014-03-08 11:58:21,4,8,7
2014-03-08 11:58:22,4,8,7
2014-03-08 11:58:23,4,8,7
2014-03-08 11:58:24,4,4,7
2014-03-08 11:58:25,4,4,7
2014-03-08 11:58:26,4,4,7
2014-03-08 11:58:27,4,4,7
2014-03-08 11:58:28,4,4,7
2014-03-08 11:58:29,4,4,7
2014-03-08 11:58:30,4,4,7
2014-03-08 11:58:31,4,8,7
2014-03-08 11:58:32,4,8,4
2014-03-08 11:58:33,4,4,4
2014-03-08 11:58:34,4,8,4
2014-03-08 11:58:35,4,8,7
2014-03-08 11:58:36,4,4,7
2014-03-08 11:58:37,4,8,7
2014-03-08 11:58:38,4,8,7
2014-03-08 11:58:39,4,4,7
2014-03-08 11:58:40,4,4,7
2014-03-08 11:58:41,4,4,7
2014-03-08 11:58:42,4,4,7
2014-03-08 11:58:43,4,4,7
2014-03-08 11:58:44,4,4,8
2014-03-08 11:58:45,4,4,7
2014-03-08 11:58:46,4,4,7
2014-03-08 11:58:47,4,4,4
2014-03-08 11:58:48,4,4,4
2014-03-08 11:58:49,4,4,4
2014-03-08 11:58:50,4,4,7
2014-03-08 11:58:51,4,4,3
2014-03-08 11:58:52,4,4,3
2014-03-08 11:58:53,4,4,3
2014-03-08 11:58:54,4,4,3
2014-03-08 11:58:55,4,4,3
2014-03-08 11:58:56,4,4,3
2014-03-08 11:58:57,4,4,3
2014-03-08 11:58:58,4,4,3
2014-03-08 11:58:59,4,4,3
2014-03-08 11:59:00,4,4,3
2014-03-08 11:59:01,4,4,3
2014-03-08 11:59:02,4,4,3
2014-03-08 11:59:03,4,4,3
2014-03-08 11:59:04,4,4,3
2014-03-08 11:59:05,4,4,3
2014-03-08 11:59:06,4,4,3
2014-03-08 11:59:07,4,4,3
2014-03-08 11:59:08,4,3,3
2014-03-08 11:59:09,4,4,3
2014-03-08 11:59:10,4,4,3
2014-03-08 11:59:11,4,4,3
2014-03-08 11:59:12,4,4,3
2014-03-08 11:59:13,4,4,4
2014-03-08 11:59:14,4,4,6
2014-03-08 11:59:15,6,4,7
2014-03-08 11:59:16,7,2,7
2014-03-08 11:59:17,4,4,7
2014-03-08 11:59:18,6,4,7
2014-03-08 11:59:19,7,4,7
2014-03-08 11:59:20,4,4,7
2014-03-08 11:59:21,6,4,7
2014-03-08 11:59:22,4,2,3
2014-03-08 11:59:23,4,4,3
2014-03-08 11:59:24,6,4,3
2014-03-08 11:59:25,4,4,3
2014-03-08 11:59:26,4,4,3
2014-03-08 11:59:27,4,4,3
2014-03-08 11:59:28,4,2,3
2014-03-08 11:59:29,4,4,4
2014-03-08 11:59:30,4,4,4
2014-03-08 11:59:31,4,4,4
2014-03-08 11:59:32,7,4,4
2014-03-08 11:59:33,7,4,4
2014-03-08 11:59:34,4,4,4
2014-03-08 11:59:35,7,4,4
2014-03-08 11:59:36,7,4,4
2014-03-08 11:59:37,4,4,4
2014-03-08 11:59:38,4,4,4
2014-03-08 11:59:39,7,2,4
2014-03-08 11:59:40,4,4,7
2014-03-08 11:59:41,4,4,8
2014-03-08 11:59:42,7,4,7
2014-03-08 11:59:43,4,4,8
2014-03-08 11:59:44,4,4,8
2014-03-08 11:59:45,4,4,7
2014-03-08 11:59:46,4,4,7
2014-03-08 11:59:47,4,4,7
2014-03-08 11:59:48,4,4,7
2014-03-08 11:59:49,4,4,7
2014-03-08 11:59:50,4,4,7
2014-03-08 11:59:51,4,4,7
2014-03-08 11:59:52,4,4,7
2014-03-08 11:59:53,4,4,8
2014-03-08 11:59:54,4,4,7
2014-03-08 11:59:55,4,4,8
2014-03-08 11:59:56,7,4,8
2014-03-08 11:59:57,4,4,8
2014-03-08 11:59:58,4,4,8
2014-03-08 11:59:59,4,4,8
2014-03-08 12:00:00,4,4,8
2014-03-08 12:00:01,4,4,8
2014-03-08 12:00:02,4,2,8
2014-03-08 12:00:03,4,4,8
2014-03-08 12:00:04,4,4,8
2014-03-08 12:00:05,4,4,7
2014-03-08 12:00:06,4,4,8
2014-03-08 12:00:07,4,4,7
2014-03-08 12:00:08,4,4,7
2014-03-08 12:00:09,4,4,7
2014-03-08 12:00:10,4,4,7
2014-03-08 12:00:11,4,4,7
2014-03-08 12:00:12,4,4,7
2014-03-08 12:00:13,4,4,7
2014-03-08 12:00:14,4,4,7
2014-03-08 12:00:15,4,4,7
2014-03-08 12:00:16,4,4,7
2014-03-08 12:00:17,4,4,7
2014-03-08 12:00:18,4,4,7
2014-03-08 12:00:19,4,4,7
2014-03-08 12:00:20,7,4,7
2014-03-08 12:00:21,4,4,7
2014-03-08 12:00:22,4,4,7
2014-03-08 12:00:23,4,4,7
2014-03-08 12:00:24,4,4,7
2014-03-08 12:00:25,4,4,8
2014-03-08 12:00:26,4,4,7
2014-03-08 12:00:27,4,4,8
2014-03-08 12:00:28,4,4,7
2014-03-08 12:00:29,4,4,7
2014-03-08 12:00:30,4,4,7
2014-03-08 12:00:31,4,4,7
2014-03-08 12:00:32,4,4,7
2014-03-08 12:00:33,4,4,7
2014-03-08 12:00:34,4,4,7
2014-03-08 12:00:35,4,2,7
2014-03-08 12:00:36,4,4,8
2014-03-08 12:00:37,4,4,8
2014-03-08 12:00:38,4,4,8
2014-03-08 12:00:39,4,4,8
2014-03-08 12:00:40,4,4,7
2014-03-08 12:00:41,4,3,7
2014-03-08 12:00:42,4,8,7
2014-03-08 12:00:43,7,8,6
2014-03-08 12:00:44,7,8,7
2014-03-08 12:00:45,7,7,7
2014-03-08 12:00:46,7,7,7
2014-03-08 12:00:47,7,7,7
2014-03-08 12:00:48,6,7,7
2014-03-08 12:00:49,6,7,7
2014-03-08 12:00:50,6,7,7
2014-03-08 12:00:51,6,7,7
2014-03-08 12:00:52,6,7,7
2014-03-08 12:00:53,7,7,7
2014-03-08 12:00:54,7,7,7
2014-03-08 12:00:55,7,7,7
2014-03-08 12:00:56,7,7,7
2014-03-08 12:00:57,7,7,7
2014-03-08 12:00:58,7,7,7
2014-03-08 12:00:59,7,7,7
2014-03-08 12:01:00,7,7,7
2014-03-08 12:01:01,7,7,7
2014-03-08 12:01:02,7,7,7
2014-03-08 12:01:03,7,7,7
2014-03-08 12:01:04,7,7,7
2014-03-08 12:01:05,7,7,7
2014-03-08 12:01:06,7,7,7
2014-03-08 12:01:07,7,7,7
2014-03-08 12:01:08,7,7,7
2014-03-08 12:01:09,7,7,7
2014-03-08 12:01:10,7,7,7
2014-03-08 12:01:11,7,7,7
2014-03-08 12:01:12,7,7,7
2014-03-08 12:01:13,7,7,7
2014-03-08 12:01:14,7,7,7
2014-03-08 12:01:15,7,7,7
2014-03-08 12:01:16,7,7,7
2014-03-08 12:01:17,7,7,7
2014-03-08 12:01:18,7,7,7
2014-03-08 12:01:19,7,7,7
2014-03-08 12:01:20,7,7,7
2014-03-08 12:01:21,7,7,7
2014-03-08 12:01:22,7,7,7
2014-03-08 12:01:23,7,7,7
2014-03-08 12:01:24,7,7,7
2014-03-08 12:01:25,7,7,3
2014-03-08 12:01:26,7,7,3
2014-03-08 12:01:27,7,7,1
2014-03-08 12:01:28,7,7,1
2014-03-08 12:01:29,7,7,1
2014-03-08 12:01:30,7,7,1
2014-03-08 12:01:31,3,3,1
2014-03-08 12:01:32,3,1,1
2014-03-08 12:01:33,1,1,1
2014-03-08 12:01:34,1,1,1
2014-03-08 12:01:35,1,1,1
2014-03-08 12:01:36,1,1,1
2014-03-08 12:01:37,1,1,1
2014-03-08 12:01:38,1,1,1
2014-03-08 12:01:39,1,1,1
2014-03-08 12:01:40,1,1,1
2014-03-08 12:01:41,1,1,1
2014-03-08 12:01:42,1,1,1
2014-03-08 12:01:43,1,1,1
2014-03-08 12:01:44,1,8,1
2014-03-08 12:01:45,1,8,1
2014-03-08 12:01:46,1,8,1
2014-03-08 12:01:47,1,8,1
2014-03-08 12:01:48,1,8,1
2014-03-08 12:01:49,1,3,1
