time,christina,yvonne,jonathan,charles
2014-04-28 19:28:04,0,2,2,0
2014-04-28 19:28:05,0,2,1,0
2014-04-28 19:28:06,0,2,2,0
2014-04-28 19:28:07,0,2,2,0
2014-04-28 19:28:08,0,2,2,0
2014-04-28 19:28:09,0,2,2,0
2014-04-28 19:28:10,0,0,2,0
2014-04-28 19:28:11,0,0,2,0
2014-04-28 19:28:12,0,2,2,0
2014-04-28 19:28:13,0,2,2,0
2014-04-28 19:28:14,0,2,2,0
2014-04-28 19:28:15,0,2,2,0
2014-04-28 19:28:16,0,2,2,0
2014-04-28 19:28:17,0,2,2,0
2014-04-28 19:28:18,0,2,2,0
2014-04-28 19:28:19,0,2,3,0
2014-04-28 19:28:20,0,4,3,0
2014-04-28 19:28:21,0,4,1,0
2014-04-28 19:28:22,0,4,1,0
2014-04-28 19:28:23,0,3,1,0
2014-04-28 19:28:24,0,4,3,0
2014-04-28 19:28:25,0,4,3,0
2014-04-28 19:28:26,0,4,3,0
2014-04-28 19:28:27,0,3,3,0
2014-04-28 19:28:28,0,3,3,0
2014-04-28 19:28:29,0,2,8,0
2014-04-28 19:28:30,0,2,4,0
2014-04-28 19:28:31,0,2,2,0
2014-04-28 19:28:32,0,2,2,0
2014-04-28 19:28:33,0,0,4,0
2014-04-28 19:28:34,0,0,4,0
2014-04-28 19:28:35,0,0,4,0
2014-04-28 19:28:36,0,2,4,0
2014-04-28 19:28:37,0,8,7,0
2014-04-28 19:28:38,0,8,7,0
2014-04-28 19:28:39,0,4,7,0
2014-04-28 19:28:40,0,4,8,0
2014-04-28 19:28:41,0,3,3,0
2014-04-28 19:28:42,0,3,3,0
2014-04-28 19:28:43,0,3,1,0
2014-04-28 19:28:44,0,3,3,0
2014-04-28 19:28:45,0,3,1,0
2014-04-28 19:28:46,0,3,1,0
2014-04-28 19:28:47,0,3,3,0
2014-04-28 19:28:48,0,3,3,0
2014-04-28 19:28:49,0,3,1,0
2014-04-28 19:28:50,0,1,8,0
2014-04-28 19:28:51,0,1,8,0
2014-04-28 19:28:52,0,1,8,0
2014-04-28 19:28:53,0,1,8,0
2014-04-28 19:28:54,2,1,8,0
2014-04-28 19:28:55,2,1,1,0
2014-04-28 19:28:56,2,1,1,0
2014-04-28 19:28:57,3,1,3,0
2014-04-28 19:28:58,3,1,3,0
2014-04-28 19:28:59,3,1,4,0
2014-04-28 19:29:00,3,1,4,0
2014-04-28 19:29:01,3,1,0,0
2014-04-28 19:29:02,2,3,0,0
2014-04-28 19:29:03,2,3,0,0
2014-04-28 19:29:04,4,2,0,0
2014-04-28 19:29:05,2,0,0,0
2014-04-28 19:29:06,3,2,0,0
2014-04-28 19:29:07,3,2,0,0
2014-04-28 19:29:08,3,3,0,0
2014-04-28 19:29:09,3,1,0,0
2014-04-28 19:29:10,3,1,0,0
2014-04-28 19:29:11,3,1,0,0
2014-04-28 19:29:12,3,1,0,0
2014-04-28 19:29:13,4,1,0,0
2014-04-28 19:29:14,2,3,0,0
2014-04-28 19:29:15,2,3,0,0
2014-04-28 19:29:16,2,3,0,0
2014-04-28 19:29:17,0,3,0,0
2014-04-28 19:29:18,0,3,0,0
2014-04-28 19:29:19,0,3,0,0
2014-04-28 19:29:20,0,2,0,0
2014-04-28 19:29:21,0,2,0,0
2014-04-28 19:29:22,0,0,0,0
2014-04-28 19:29:23,2,0,0,0
2014-04-28 19:29:24,2,0,0,0
2014-04-28 19:29:25,2,0,0,0
2014-04-28 19:29:26,2,0,0,0
2014-04-28 19:29:27,2,0,0,0
2014-04-28 19:29:28,2,0,0,0
2014-04-28 19:29:29,2,0,0,0
2014-04-28 19:29:30,2,0,0,0
2014-04-28 19:29:31,2,0,0,0
2014-04-28 19:29:32,3,0,0,0
2014-04-28 19:29:33,3,0,0,0
2014-04-28 19:29:34,1,0,0,0
2014-04-28 19:29:35,1,0,0,0
2014-04-28 19:29:36,1,0,0,0
2014-04-28 19:29:37,3,0,0,0
2014-04-28 19:29:38,3,0,0,0
2014-04-28 19:29:39,3,0,0,0
2014-04-28 19:29:40,3,0,0,0
2014-04-28 19:29:41,3,0,0,0
2014-04-28 19:29:42,1,0,0,0
