time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-08 15:48:57,3,0,8,3
2015-05-08 15:48:58,1,0,8,3
2015-05-08 15:48:59,3,0,8,3
2015-05-08 15:49:00,3,0,8,3
2015-05-08 15:49:01,1,6,8,3
2015-05-08 15:49:02,1,6,8,3
2015-05-08 15:49:03,1,8,8,3
2015-05-08 15:49:04,1,3,8,3
2015-05-08 15:49:05,1,3,8,3
2015-05-08 15:49:06,1,3,8,2
2015-05-08 15:49:07,1,3,8,6
2015-05-08 15:49:08,0,3,8,4
2015-05-08 15:49:09,0,3,8,7
2015-05-08 15:49:10,0,3,8,7
2015-05-08 15:49:11,0,3,8,7
2015-05-08 15:49:12,0,3,8,7
2015-05-08 15:49:13,2,3,8,7
2015-05-08 15:49:14,2,1,8,7
2015-05-08 15:49:15,7,3,8,7
2015-05-08 15:49:16,5,3,8,7
2015-05-08 15:49:17,5,3,8,7
2015-05-08 15:49:18,5,3,8,7
2015-05-08 15:49:19,5,3,8,7
2015-05-08 15:49:20,5,3,8,7
2015-05-08 15:49:21,5,3,8,7
2015-05-08 15:49:22,5,3,8,7
2015-05-08 15:49:23,7,3,8,7
2015-05-08 15:49:24,7,3,8,7
2015-05-08 15:49:25,7,2,8,7
2015-05-08 15:49:26,7,2,8,7
2015-05-08 15:49:27,7,4,8,7
2015-05-08 15:49:28,7,2,8,7
2015-05-08 15:49:29,7,2,8,7
2015-05-08 15:49:30,7,2,8,7
2015-05-08 15:49:31,3,2,8,7
2015-05-08 15:49:32,0,0,8,7
2015-05-08 15:49:33,0,0,7,7
2015-05-08 15:49:34,0,4,7,7
2015-05-08 15:49:35,0,4,0,7
2015-05-08 15:49:36,0,4,0,7
2015-05-08 15:49:37,0,4,0,7
2015-05-08 15:49:38,0,4,0,7
2015-05-08 15:49:39,0,0,0,7
2015-05-08 15:49:40,0,0,0,7
2015-05-08 15:49:41,6,0,0,7
2015-05-08 15:49:42,6,0,0,7
2015-05-08 15:49:43,2,0,0,7
2015-05-08 15:49:44,2,0,0,7
2015-05-08 15:49:45,2,0,0,7
2015-05-08 15:49:46,6,0,0,7
2015-05-08 15:49:47,7,0,0,7
2015-05-08 15:49:48,7,0,0,7
2015-05-08 15:49:49,7,0,0,5
2015-05-08 15:49:50,7,0,0,5
2015-05-08 15:49:51,7,0,0,5
2015-05-08 15:49:52,5,0,0,5
2015-05-08 15:49:53,5,0,2,5
2015-05-08 15:49:54,5,0,2,5
2015-05-08 15:49:55,5,0,2,5
2015-05-08 15:49:56,5,0,2,5
2015-05-08 15:49:57,7,0,2,5
2015-05-08 15:49:58,7,0,0,5
2015-05-08 15:49:59,7,0,7,5
2015-05-08 15:50:00,7,4,6,5
2015-05-08 15:50:01,7,4,7,5
2015-05-08 15:50:02,7,4,7,5
2015-05-08 15:50:03,7,4,7,5
2015-05-08 15:50:04,7,4,7,5
2015-05-08 15:50:05,7,2,7,5
2015-05-08 15:50:06,7,0,0,0
2015-05-08 15:50:07,7,0,0,0
2015-05-08 15:50:08,7,0,0,0
2015-05-08 15:50:09,5,0,0,0
2015-05-08 15:50:10,5,0,0,0
2015-05-08 15:50:11,0,0,0,0
2015-05-08 15:50:12,0,0,0,0
2015-05-08 15:50:13,0,0,0,0
2015-05-08 15:50:14,0,0,0,0
2015-05-08 15:50:15,0,0,0,0
2015-05-08 15:50:16,0,0,0,0
2015-05-08 15:50:17,0,0,0,0
2015-05-08 15:50:18,0,0,0,0
2015-05-08 15:50:19,0,0,0,0
2015-05-08 15:50:20,0,0,0,0
2015-05-08 15:50:21,0,0,0,0
2015-05-08 15:50:22,0,0,0,0
2015-05-08 15:50:23,0,0,0,0
2015-05-08 15:50:24,0,0,0,0
2015-05-08 15:50:25,0,0,0,0
2015-05-08 15:50:26,0,0,0,0
2015-05-08 15:50:27,0,0,0,0
2015-05-08 15:50:28,0,0,0,0
