time,christina,charles_ipadair,yvonne,jonathan_iPad2,charles,jonathan,6EAD764A-E424-48EB-9672-03EF44679A5E
2014-03-15 13:03:27,4,7,7,4,4,7,4
2014-03-15 13:03:28,4,7,4,4,4,7,4
2014-03-15 13:03:29,4,7,7,4,4,7,4
2014-03-15 13:03:30,4,7,7,4,4,7,4
2014-03-15 13:03:31,4,7,7,4,4,7,4
2014-03-15 13:03:32,4,7,7,4,4,7,4
2014-03-15 13:03:33,4,7,7,4,4,7,4
2014-03-15 13:03:34,4,7,7,4,4,7,4
2014-03-15 13:03:35,4,7,7,4,4,4,4
2014-03-15 13:03:36,4,7,7,4,4,7,4
2014-03-15 13:03:37,4,7,7,4,4,7,4
2014-03-15 13:03:38,4,7,7,4,4,7,4
2014-03-15 13:03:39,4,7,4,4,4,7,4
2014-03-15 13:03:40,4,7,7,4,4,7,4
2014-03-15 13:03:41,4,7,7,4,4,7,4
2014-03-15 13:03:42,4,7,7,4,4,7,4
2014-03-15 13:03:43,4,7,7,4,4,7,4
2014-03-15 13:03:44,4,7,7,4,4,7,4
2014-03-15 13:03:45,4,7,7,4,4,7,4
2014-03-15 13:03:46,4,7,4,4,4,7,4
2014-03-15 13:03:47,4,7,7,4,4,7,4
2014-03-15 13:03:48,4,7,7,4,4,7,4
2014-03-15 13:03:49,4,7,7,4,4,7,4
2014-03-15 13:03:50,4,7,7,4,4,7,4
2014-03-15 13:03:51,4,7,7,4,4,7,4
2014-03-15 13:03:52,4,7,7,4,4,7,4
2014-03-15 13:03:53,4,7,7,4,4,7,4
