time,charles_ipadair,charles,christina,yvonne,jonathan_iPad2,jonathan
2014-03-15 12:39:04,4,2,2,7,8,7
2014-03-15 12:39:05,4,2,2,7,8,7
2014-03-15 12:39:06,8,2,2,6,8,7
2014-03-15 12:39:07,8,2,2,6,8,7
2014-03-15 12:39:08,8,2,2,6,3,7
2014-03-15 12:39:09,3,2,2,6,8,7
2014-03-15 12:39:10,8,2,2,6,8,7
2014-03-15 12:39:11,8,2,2,7,3,7
2014-03-15 12:39:12,8,2,2,4,8,7
2014-03-15 12:39:13,8,2,2,4,8,7
2014-03-15 12:39:14,8,2,2,4,8,7
2014-03-15 12:39:15,8,2,2,4,8,4
2014-03-15 12:39:16,8,2,2,7,8,4
2014-03-15 12:39:17,8,2,2,7,8,4
2014-03-15 12:39:18,8,2,2,7,8,4
2014-03-15 12:39:19,8,2,2,7,8,4
2014-03-15 12:39:20,8,2,2,7,8,4
2014-03-15 12:39:21,8,2,2,4,8,7
2014-03-15 12:39:22,8,2,2,6,8,7
2014-03-15 12:39:23,8,2,2,6,8,7
2014-03-15 12:39:24,8,2,2,6,8,7
2014-03-15 12:39:25,3,2,2,6,8,7
2014-03-15 12:39:26,3,2,2,4,8,6
2014-03-15 12:39:27,3,2,2,6,8,4
2014-03-15 12:39:28,3,2,2,4,8,4
2014-03-15 12:39:29,3,2,2,6,8,4
2014-03-15 12:39:30,3,2,2,6,8,4
2014-03-15 12:39:31,3,2,2,6,8,4
2014-03-15 12:39:32,3,2,2,6,8,4
2014-03-15 12:39:33,3,2,2,6,3,4
2014-03-15 12:39:34,1,2,2,6,3,4
2014-03-15 12:39:35,2,2,2,4,8,4
2014-03-15 12:39:36,2,2,2,4,8,4
2014-03-15 12:39:37,2,2,2,4,3,4
2014-03-15 12:39:38,2,2,2,4,8,4
2014-03-15 12:39:39,2,2,2,4,8,4
2014-03-15 12:39:40,2,2,2,4,3,4
2014-03-15 12:39:41,2,2,2,4,3,3
2014-03-15 12:39:42,2,2,2,3,3,2
2014-03-15 12:39:43,2,2,2,3,3,2
2014-03-15 12:39:44,1,2,2,3,3,2
2014-03-15 12:39:45,2,2,2,3,3,1
2014-03-15 12:39:46,1,2,2,3,3,1
2014-03-15 12:39:47,1,2,2,3,1,3
2014-03-15 12:39:48,1,2,2,3,2,3
2014-03-15 12:39:49,2,2,2,3,2,3
2014-03-15 12:39:50,2,1,2,3,2,3
2014-03-15 12:39:51,2,1,2,3,2,3
2014-03-15 12:39:52,2,1,2,3,2,3
2014-03-15 12:39:53,2,1,2,3,2,3
2014-03-15 12:39:54,2,1,2,3,2,3
2014-03-15 12:39:55,2,1,2,3,2,3
2014-03-15 12:39:56,2,1,2,1,2,3
2014-03-15 12:39:57,2,1,2,1,2,3
2014-03-15 12:39:58,2,1,1,3,2,3
2014-03-15 12:39:59,2,1,1,3,2,3
2014-03-15 12:40:00,2,1,1,3,2,3
2014-03-15 12:40:01,2,1,1,3,2,3
2014-03-15 12:40:02,1,1,1,3,2,3
2014-03-15 12:40:03,3,1,1,3,2,3
2014-03-15 12:40:04,3,1,1,3,2,3
2014-03-15 12:40:05,3,1,1,3,8,2
2014-03-15 12:40:06,3,1,0,3,3,2
2014-03-15 12:40:07,1,1,0,4,8,2
2014-03-15 12:40:08,1,1,1,4,8,4
2014-03-15 12:40:09,1,1,1,3,3,4
2014-03-15 12:40:10,1,1,1,3,2,4
2014-03-15 12:40:11,1,1,1,3,2,4
2014-03-15 12:40:12,1,1,2,3,2,4
2014-03-15 12:40:13,1,1,1,3,2,4
2014-03-15 12:40:14,3,1,1,3,2,4
2014-03-15 12:40:15,1,1,1,3,2,3
2014-03-15 12:40:16,3,1,1,3,2,1
2014-03-15 12:40:17,3,1,1,3,2,2
2014-03-15 12:40:18,3,1,1,3,2,2
2014-03-15 12:40:19,3,3,1,3,2,2
2014-03-15 12:40:20,3,1,1,3,2,2
2014-03-15 12:40:21,3,1,1,3,1,2
2014-03-15 12:40:22,3,1,1,3,2,3
2014-03-15 12:40:23,3,1,1,3,2,3
2014-03-15 12:40:24,3,1,1,3,1,3
2014-03-15 12:40:25,3,1,1,3,2,1
2014-03-15 12:40:26,3,1,1,3,2,1
2014-03-15 12:40:27,3,1,1,3,2,2
2014-03-15 12:40:28,1,1,1,3,2,2
2014-03-15 12:40:29,1,1,1,3,2,2
2014-03-15 12:40:30,1,1,1,3,2,3
2014-03-15 12:40:31,2,1,1,3,3,3
2014-03-15 12:40:32,2,1,1,3,3,3
2014-03-15 12:40:33,2,1,1,3,3,3
2014-03-15 12:40:34,1,1,1,3,8,3
2014-03-15 12:40:35,1,1,1,3,8,3
2014-03-15 12:40:36,1,1,1,3,2,3
2014-03-15 12:40:37,1,1,3,3,2,3
2014-03-15 12:40:38,1,1,3,3,2,3
2014-03-15 12:40:39,1,1,3,3,2,3
2014-03-15 12:40:40,8,1,3,3,3,3
2014-03-15 12:40:41,8,2,2,3,3,4
2014-03-15 12:40:42,8,2,2,3,4,4
2014-03-15 12:40:43,8,2,2,4,4,4
2014-03-15 12:40:44,8,2,3,4,4,4
2014-03-15 12:40:45,8,4,3,4,4,4
2014-03-15 12:40:46,4,4,3,4,4,8
2014-03-15 12:40:47,4,4,3,4,4,8
2014-03-15 12:40:48,4,4,3,4,4,4
2014-03-15 12:40:49,4,4,3,4,4,4
2014-03-15 12:40:50,4,4,3,4,4,4
2014-03-15 12:40:51,4,2,3,4,4,4
2014-03-15 12:40:52,4,2,3,4,4,4
2014-03-15 12:40:53,4,2,4,4,4,4
2014-03-15 12:40:54,4,2,4,4,4,4
2014-03-15 12:40:55,4,4,4,4,4,4
2014-03-15 12:40:56,4,4,4,4,4,4
2014-03-15 12:40:57,4,4,4,4,4,4
2014-03-15 12:40:58,4,4,4,4,4,4
2014-03-15 12:40:59,4,4,4,4,4,4
2014-03-15 12:41:00,4,4,4,4,4,4
2014-03-15 12:41:01,4,4,4,4,4,4
2014-03-15 12:41:02,4,4,4,4,4,4
2014-03-15 12:41:03,4,4,4,4,4,4
2014-03-15 12:41:04,4,4,4,4,4,4
2014-03-15 12:41:05,4,4,4,4,4,4
2014-03-15 12:41:06,4,4,4,4,4,4
2014-03-15 12:41:07,4,4,4,4,4,4
2014-03-15 12:41:08,4,4,4,4,4,4
2014-03-15 12:41:09,4,4,4,4,4,4
2014-03-15 12:41:10,4,4,4,4,4,4
2014-03-15 12:41:11,8,4,4,4,4,4
2014-03-15 12:41:12,8,4,4,4,4,4
2014-03-15 12:41:13,8,4,4,4,4,4
2014-03-15 12:41:14,7,4,4,4,4,4
2014-03-15 12:41:15,7,4,4,4,4,4
2014-03-15 12:41:16,8,4,4,4,4,4
2014-03-15 12:41:17,7,4,4,4,4,4
2014-03-15 12:41:18,4,4,4,4,4,4
2014-03-15 12:41:19,8,4,4,4,4,4
2014-03-15 12:41:20,4,4,4,4,4,4
2014-03-15 12:41:21,4,4,4,4,4,4
2014-03-15 12:41:22,4,4,4,4,4,4
2014-03-15 12:41:23,4,4,4,4,4,4
2014-03-15 12:41:24,4,4,4,4,4,4
2014-03-15 12:41:25,7,4,4,4,4,4
2014-03-15 12:41:26,4,4,4,4,4,4
2014-03-15 12:41:27,4,4,4,4,4,4
2014-03-15 12:41:28,7,3,3,2,4,4
2014-03-15 12:41:29,4,3,3,4,4,4
2014-03-15 12:41:30,4,3,3,7,4,4
2014-03-15 12:41:31,7,3,3,7,4,4
2014-03-15 12:41:32,4,3,3,7,4,7
2014-03-15 12:41:33,4,3,3,7,4,7
2014-03-15 12:41:34,4,3,3,7,4,7
2014-03-15 12:41:35,4,3,3,7,4,8
2014-03-15 12:41:36,4,3,3,7,4,7
2014-03-15 12:41:37,4,3,3,7,4,7
2014-03-15 12:41:38,4,3,3,7,4,7
2014-03-15 12:41:39,4,3,3,7,4,7
2014-03-15 12:41:40,4,3,3,7,4,7
2014-03-15 12:41:41,4,3,3,7,4,7
2014-03-15 12:41:42,8,3,3,7,4,7
2014-03-15 12:41:43,4,3,3,7,4,7
2014-03-15 12:41:44,8,3,3,7,4,7
2014-03-15 12:41:45,8,3,3,7,4,7
2014-03-15 12:41:46,8,3,3,7,4,7
2014-03-15 12:41:47,4,3,3,7,4,7
2014-03-15 12:41:48,8,3,3,7,4,7
2014-03-15 12:41:49,8,3,3,7,4,7
2014-03-15 12:41:50,8,3,3,7,4,7
2014-03-15 12:41:51,7,3,3,7,4,7
2014-03-15 12:41:52,7,3,3,7,4,7
2014-03-15 12:41:53,8,3,3,4,4,7
2014-03-15 12:41:54,8,3,3,7,4,7
2014-03-15 12:41:55,4,3,3,7,4,7
2014-03-15 12:41:56,4,3,3,7,4,7
2014-03-15 12:41:57,4,3,3,7,4,7
2014-03-15 12:41:58,4,3,3,7,4,7
2014-03-15 12:41:59,4,3,3,7,4,7
2014-03-15 12:42:00,4,3,3,4,4,7
2014-03-15 12:42:01,4,4,3,4,4,7
2014-03-15 12:42:02,4,4,4,4,4,7
2014-03-15 12:42:03,4,4,4,4,4,7
2014-03-15 12:42:04,4,4,4,4,4,7
2014-03-15 12:42:05,4,4,4,4,4,7
2014-03-15 12:42:06,4,4,4,4,4,7
2014-03-15 12:42:07,3,4,4,4,4,7
2014-03-15 12:42:08,3,4,4,4,4,7
2014-03-15 12:42:09,3,4,4,4,4,7
2014-03-15 12:42:10,3,4,4,4,7,8
2014-03-15 12:42:11,3,4,4,4,7,8
2014-03-15 12:42:12,3,4,4,4,7,8
2014-03-15 12:42:13,3,4,4,4,7,8
2014-03-15 12:42:14,3,4,4,4,7,8
2014-03-15 12:42:15,3,4,4,4,7,8
2014-03-15 12:42:16,3,4,4,4,7,4
2014-03-15 12:42:17,3,4,4,4,3,8
2014-03-15 12:42:18,3,4,4,4,3,4
2014-03-15 12:42:19,3,4,4,4,3,4
