time,charles,yvonne,christina,jonathan
2014-08-24 16:05:26,4,0,4,3
2014-08-24 16:05:27,4,0,4,3
2014-08-24 16:05:28,6,0,4,3
2014-08-24 16:05:29,6,0,4,3
2014-08-24 16:05:30,6,0,2,3
2014-08-24 16:05:31,6,0,2,3
2014-08-24 16:05:32,6,0,2,3
2014-08-24 16:05:33,6,0,2,3
2014-08-24 16:05:34,7,0,2,3
2014-08-24 16:05:35,4,0,2,3
2014-08-24 16:05:36,4,0,2,3
2014-08-24 16:05:37,4,0,2,3
2014-08-24 16:05:38,2,0,2,2
2014-08-24 16:05:39,2,0,2,2
2014-08-24 16:05:40,3,0,2,2
2014-08-24 16:05:41,3,0,2,2
2014-08-24 16:05:42,2,0,2,2
2014-08-24 16:05:43,2,0,0,2
2014-08-24 16:05:44,2,0,0,2
2014-08-24 16:05:45,0,0,0,2
2014-08-24 16:05:46,2,0,0,1
2014-08-24 16:05:47,2,0,0,1
2014-08-24 16:05:48,2,0,0,1
2014-08-24 16:05:49,2,0,0,1
2014-08-24 16:05:50,4,0,0,1
2014-08-24 16:05:51,4,0,0,1
2014-08-24 16:05:52,4,0,0,1
2014-08-24 16:05:53,4,0,0,1
2014-08-24 16:05:54,4,0,0,1
2014-08-24 16:05:55,4,0,0,2
2014-08-24 16:05:56,4,0,0,2
2014-08-24 16:05:57,4,0,0,2
2014-08-24 16:05:58,3,0,0,0
2014-08-24 16:05:59,3,0,0,0
2014-08-24 16:06:00,2,0,0,0
2014-08-24 16:06:01,2,0,0,0
2014-08-24 16:06:02,2,0,0,0
2014-08-24 16:06:03,2,0,0,0
2014-08-24 16:06:04,2,0,0,0
2014-08-24 16:06:05,2,0,0,0
2014-08-24 16:06:06,2,0,0,0
2014-08-24 16:06:07,3,0,0,0
2014-08-24 16:06:08,3,0,0,0
2014-08-24 16:06:09,3,0,0,0
2014-08-24 16:06:10,4,0,0,0
2014-08-24 16:06:11,7,0,0,0
2014-08-24 16:06:12,4,0,0,0
2014-08-24 16:06:13,4,0,0,0
2014-08-24 16:06:14,4,0,0,0
2014-08-24 16:06:15,4,0,0,0
2014-08-24 16:06:16,0,0,0,0
2014-08-24 16:06:17,0,0,0,0
2014-08-24 16:06:18,0,0,0,0
2014-08-24 16:06:19,0,0,0,0
2014-08-24 16:06:20,0,0,0,0
2014-08-24 16:06:21,0,0,0,0
2014-08-24 16:06:22,0,0,0,0
2014-08-24 16:06:23,0,0,0,0
2014-08-24 16:06:24,0,0,0,0
2014-08-24 16:06:25,0,0,0,0
2014-08-24 16:06:26,0,0,0,0
2014-08-24 16:06:27,0,0,0,0
2014-08-24 16:06:28,0,0,0,0
2014-08-24 16:06:29,0,0,0,0
2014-08-24 16:06:30,0,0,0,0
2014-08-24 16:06:31,0,0,0,0
2014-08-24 16:06:32,0,0,0,0
2014-08-24 16:06:33,0,0,0,0
2014-08-24 16:06:34,0,0,0,0
2014-08-24 16:06:35,0,0,0,0
2014-08-24 16:06:36,0,0,0,0
2014-08-24 16:06:37,0,0,0,0
2014-08-24 16:06:38,0,0,0,0
2014-08-24 16:06:39,0,0,0,0
2014-08-24 16:06:40,0,0,0,0
2014-08-24 16:06:41,0,0,0,0
2014-08-24 16:06:42,0,0,0,0
2014-08-24 16:06:43,0,0,0,0
2014-08-24 16:06:44,0,0,0,0
2014-08-24 16:06:45,0,0,0,0
2014-08-24 16:06:46,0,0,0,0
2014-08-24 16:06:47,0,0,0,0
2014-08-24 16:06:48,0,0,0,0
2014-08-24 16:06:49,0,0,0,0
2014-08-24 16:06:50,0,0,0,0
2014-08-24 16:06:51,0,0,0,0
2014-08-24 16:06:52,0,0,0,0
2014-08-24 16:06:53,0,0,0,0
2014-08-24 16:06:54,0,0,0,0
2014-08-24 16:06:55,0,0,0,0
2014-08-24 16:06:56,0,0,0,0
2014-08-24 16:06:57,0,0,0,0
2014-08-24 16:06:58,0,0,0,0
2014-08-24 16:06:59,0,0,0,0
2014-08-24 16:07:00,0,0,0,0
2014-08-24 16:07:01,0,0,0,0
2014-08-24 16:07:02,0,0,0,0
2014-08-24 16:07:03,0,0,0,0
2014-08-24 16:07:04,0,0,0,0
2014-08-24 16:07:05,0,0,0,0
2014-08-24 16:07:06,0,0,0,0
2014-08-24 16:07:07,0,0,0,0
