time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-03 13:07:12,0,0
2015-06-03 13:07:13,0,0
2015-06-03 13:07:14,0,0
2015-06-03 13:07:15,0,0
2015-06-03 13:07:16,0,0
2015-06-03 13:07:17,0,0
2015-06-03 13:07:18,0,0
2015-06-03 13:07:19,0,0
2015-06-03 13:07:20,0,0
2015-06-03 13:07:21,0,0
2015-06-03 13:07:22,0,0
2015-06-03 13:07:23,0,0
2015-06-03 13:07:24,0,0
2015-06-03 13:07:25,0,0
2015-06-03 13:07:26,0,0
2015-06-03 13:07:27,0,0
2015-06-03 13:07:28,0,0
2015-06-03 13:07:29,0,0
2015-06-03 13:07:30,0,0
2015-06-03 13:07:31,0,0
2015-06-03 13:07:32,0,0
2015-06-03 13:07:33,0,0
2015-06-03 13:07:34,0,0
2015-06-03 13:07:35,0,0
2015-06-03 13:07:36,0,0
2015-06-03 13:07:37,0,0
2015-06-03 13:07:38,0,0
2015-06-03 13:07:39,0,0
2015-06-03 13:07:40,0,0
2015-06-03 13:07:41,0,0
2015-06-03 13:07:42,0,0
2015-06-03 13:07:43,0,0
2015-06-03 13:07:44,0,0
2015-06-03 13:07:45,0,0
2015-06-03 13:07:46,0,0
2015-06-03 13:07:47,0,0
2015-06-03 13:07:48,0,0
2015-06-03 13:07:49,0,0
2015-06-03 13:07:50,0,0
2015-06-03 13:07:51,0,0
2015-06-03 13:07:52,0,0
2015-06-03 13:07:53,0,0
2015-06-03 13:07:54,0,0
2015-06-03 13:07:55,0,0
2015-06-03 13:07:56,0,0
2015-06-03 13:07:57,0,0
2015-06-03 13:07:58,0,0
2015-06-03 13:07:59,0,0
2015-06-03 13:08:00,0,0
2015-06-03 13:08:01,0,0
2015-06-03 13:08:02,0,0
2015-06-03 13:08:03,0,0
2015-06-03 13:08:04,0,0
2015-06-03 13:08:05,0,0
2015-06-03 13:08:06,0,0
2015-06-03 13:08:07,0,0
2015-06-03 13:08:08,0,0
2015-06-03 13:08:09,0,0
2015-06-03 13:08:10,0,0
2015-06-03 13:08:11,0,0
2015-06-03 13:08:12,0,0
2015-06-03 13:08:13,0,0
2015-06-03 13:08:14,0,0
2015-06-03 13:08:15,0,0
2015-06-03 13:08:16,0,0
2015-06-03 13:08:17,0,0
2015-06-03 13:08:18,0,0
2015-06-03 13:08:19,0,0
2015-06-03 13:08:20,0,0
2015-06-03 13:08:21,0,0
2015-06-03 13:08:22,0,0
2015-06-03 13:08:23,0,0
2015-06-03 13:08:24,0,0
2015-06-03 13:08:25,0,0
2015-06-03 13:08:26,0,0
2015-06-03 13:08:27,0,0
2015-06-03 13:08:28,0,0
2015-06-03 13:08:29,0,0
2015-06-03 13:08:30,0,0
2015-06-03 13:08:31,0,0
2015-06-03 13:08:32,0,0
2015-06-03 13:08:33,0,0
2015-06-03 13:08:34,0,0
2015-06-03 13:08:35,0,0
2015-06-03 13:08:36,0,0
2015-06-03 13:08:37,0,0
2015-06-03 13:08:38,0,0
2015-06-03 13:08:39,0,0
2015-06-03 13:08:40,0,0
2015-06-03 13:08:41,0,0
2015-06-03 13:08:42,0,0
2015-06-03 13:08:43,0,0
2015-06-03 13:08:44,0,0
2015-06-03 13:08:45,0,0
2015-06-03 13:08:46,0,0
2015-06-03 13:08:47,0,0
2015-06-03 13:08:48,0,0
2015-06-03 13:08:49,0,0
2015-06-03 13:08:50,0,0
2015-06-03 13:08:51,0,0
2015-06-03 13:08:52,0,0
2015-06-03 13:08:53,0,0
2015-06-03 13:08:54,0,0
2015-06-03 13:08:55,0,0
2015-06-03 13:08:56,0,0
2015-06-03 13:08:57,0,0
2015-06-03 13:08:58,0,0
2015-06-03 13:08:59,0,0
2015-06-03 13:09:00,0,0
2015-06-03 13:09:01,0,0
2015-06-03 13:09:02,0,0
2015-06-03 13:09:03,0,0
2015-06-03 13:09:04,0,0
2015-06-03 13:09:05,0,0
2015-06-03 13:09:06,0,0
2015-06-03 13:09:07,0,0
2015-06-03 13:09:08,0,0
2015-06-03 13:09:09,0,0
2015-06-03 13:09:10,0,0
2015-06-03 13:09:11,0,0
2015-06-03 13:09:12,0,0
2015-06-03 13:09:13,0,0
2015-06-03 13:09:14,0,0
2015-06-03 13:09:15,0,0
2015-06-03 13:09:16,0,0
2015-06-03 13:09:17,0,0
2015-06-03 13:09:18,0,0
2015-06-03 13:09:19,0,0
2015-06-03 13:09:20,0,0
2015-06-03 13:09:21,0,0
2015-06-03 13:09:22,0,0
2015-06-03 13:09:23,0,0
2015-06-03 13:09:24,0,0
2015-06-03 13:09:25,0,0
2015-06-03 13:09:26,0,0
2015-06-03 13:09:27,0,0
2015-06-03 13:09:28,0,0
2015-06-03 13:09:29,0,0
2015-06-03 13:09:30,0,0
2015-06-03 13:09:31,0,0
2015-06-03 13:09:32,0,0
2015-06-03 13:09:33,0,0
2015-06-03 13:09:34,0,0
2015-06-03 13:09:35,0,0
2015-06-03 13:09:36,0,0
2015-06-03 13:09:37,0,0
2015-06-03 13:09:38,0,0
2015-06-03 13:09:39,0,0
2015-06-03 13:09:40,0,0
2015-06-03 13:09:41,0,0
2015-06-03 13:09:42,0,0
2015-06-03 13:09:43,0,0
2015-06-03 13:09:44,0,0
2015-06-03 13:09:45,0,0
2015-06-03 13:09:46,0,0
2015-06-03 13:09:47,0,0
2015-06-03 13:09:48,0,0
2015-06-03 13:09:49,0,0
2015-06-03 13:09:50,0,0
2015-06-03 13:09:51,0,0
2015-06-03 13:09:52,0,0
2015-06-03 13:09:53,0,0
2015-06-03 13:09:54,0,0
2015-06-03 13:09:55,0,0
2015-06-03 13:09:56,0,0
2015-06-03 13:09:57,0,0
2015-06-03 13:09:58,0,0
2015-06-03 13:09:59,0,0
2015-06-03 13:10:00,0,0
2015-06-03 13:10:01,0,0
2015-06-03 13:10:02,0,0
2015-06-03 13:10:03,0,0
